comment daily death counts in affected countries
comment preceding _smooth mobility from Apple by 21d
comment Julian day 61/68:Sundays
array data
  typeOfArray float
 dimension 343 41
head
	"Days_from_60"
	"Belgium_fatal"
	"France_fatal"
	"Germany_fatal"
	"Iran_fatal"
	"Ireland_fatal"
	"Italy_fatal"
	"Netherlands_fatal"
	"Portugal_fatal"
	"Spain_fatal"
	"Sweden_fatal"
	"Switzerland_fatal"
	"United Kingdom_fatal"
	"Georgia_fatal"
	"Indiana_fatal"
	"Louisiana_fatal"
	"Massachusetts_fatal"
	"Michigan_fatal"
	"New Jersey_fatal"
	"New York_fatal"
	"Washington_fatal"
	"Belgium_mobil"
	"France_mobil"
	"Germany_mobil"
	"Iran_mobil"
	"Ireland_mobil"
	"Italy_mobil"
	"Netherlands_mobil"
	"Portugal_mobil"
	"Spain_mobil"
	"Sweden_mobil"
	"Switzerland_mobil"
	"United Kingdom_mobil"
	"Georgia_mobil"
	"Indiana_mobil"
	"Louisiana_mobil"
	"Massachusetts_mobil"
	"Michigan_mobil"
	"New Jersey_mobil"
	"New York_mobil"
	"Washington_mobil"
data
	25	4.379	4.506	0.738	13.001	1.648	16.629	5.923	1.555	18.800	3.095	4.214	4.339	0.982	0.766	5.168	1.216	2.555	5.477	10.738	2.568	96.520	94.841	97.131	-1.000	100.533	63.201	95.701	92.054	103.960	95.235	90.598	96.547	104.532	105.870	98.548	98.009	101.904	100.693	99.993	89.905
	26	5.496	5.017	0.894	12.914	2.031	17.084	6.774	1.765	20.207	3.534	4.923	5.098	1.138	0.829	6.040	1.432	3.280	6.598	13.003	2.657	97.024	94.291	96.580	-1.000	100.749	60.895	95.713	92.276	103.303	94.825	90.713	96.005	104.503	105.528	100.102	97.807	102.790	100.786	99.927	88.262
	27	6.831	5.962	1.053	12.902	2.497	17.495	7.600	1.954	21.223	3.979	5.922	6.098	1.385	1.034	7.152	1.982	4.291	8.452	15.527	3.101	96.931	93.585	95.927	-1.000	100.298	57.407	94.829	92.029	102.112	94.436	90.240	95.489	105.213	105.250	101.178	98.065	103.323	100.803	100.044	87.229
	28	8.345	7.287	1.233	12.843	2.988	17.698	8.475	2.136	21.918	4.518	6.756	7.325	1.713	1.354	8.232	2.770	5.375	11.405	18.537	4.026	96.182	92.751	95.120	-1.000	98.645	51.750	93.729	91.294	100.161	93.734	89.506	94.755	105.404	104.725	102.081	96.543	104.497	100.146	99.189	85.928
	29	9.572	8.873	1.422	12.569	3.396	17.717	9.142	2.337	22.475	5.118	7.098	8.814	1.993	1.720	8.968	3.492	6.320	15.079	21.892	4.998	94.958	92.120	93.959	-1.000	96.776	45.770	92.167	89.834	96.959	92.416	88.203	93.608	106.128	103.809	103.505	95.237	103.934	99.031	97.544	83.873
	30	10.812	10.230	1.603	12.349	3.787	17.455	9.807	2.485	22.890	5.729	7.478	10.271	2.189	2.063	9.824	4.130	7.114	19.429	25.200	5.357	90.851	89.962	91.353	-1.000	92.641	39.221	88.371	86.432	90.593	89.645	85.554	91.479	105.683	101.750	103.430	91.740	102.205	96.186	94.298	81.479
	31	11.745	11.811	1.737	12.433	4.245	16.857	10.218	2.621	22.766	6.328	8.002	11.664	2.309	2.394	10.976	4.668	7.843	23.410	28.477	5.664	84.422	86.246	86.837	-1.000	86.710	32.490	82.543	80.495	80.356	85.909	81.410	88.633	102.031	99.459	100.559	86.757	98.907	92.615	89.814	78.224
	32	12.839	12.918	1.861	12.696	4.544	16.196	10.460	2.643	22.265	6.959	8.419	12.858	2.429	2.674	12.184	5.074	8.805	27.356	32.028	5.923	75.965	80.986	81.296	-1.000	79.726	25.771	76.235	71.305	67.284	81.410	76.653	85.420	97.932	93.974	96.614	81.389	94.074	87.597	83.479	73.950
	33	14.348	13.962	1.996	12.890	5.019	15.540	10.546	2.717	21.714	7.602	8.378	14.032	2.778	3.029	13.192	5.779	9.833	30.834	36.360	6.313	69.239	75.509	76.196	-1.000	72.631	20.294	69.722	63.284	55.628	77.299	71.738	82.107	94.864	91.177	92.886	76.385	90.626	83.153	78.224	71.268
	34	16.167	14.890	2.196	12.870	5.560	14.911	10.852	2.798	21.188	8.210	8.233	15.385	3.429	3.440	13.752	6.955	10.726	35.646	40.748	6.166	62.344	69.327	71.171	-1.000	65.128	16.446	62.526	56.251	45.274	73.545	66.809	78.307	90.934	88.359	88.698	70.310	86.061	77.745	72.202	67.920
	35	17.925	15.435	2.406	12.686	6.184	14.292	11.115	2.955	20.620	8.686	8.262	17.011	3.993	3.949	14.688	8.354	11.485	41.014	44.222	5.405	55.286	60.270	65.558	-1.000	57.719	14.575	55.424	48.921	35.515	69.754	60.964	73.059	86.833	84.476	82.870	63.586	79.798	72.104	65.887	63.825
	36	19.790	15.392	2.586	12.497	6.633	13.749	11.025	3.014	19.721	8.930	8.456	18.284	4.036	4.617	15.416	9.587	12.580	45.329	46.199	4.475	46.762	49.940	59.922	-1.000	50.539	13.295	48.378	41.833	26.378	66.447	54.959	67.503	81.978	79.905	76.752	57.717	74.299	66.399	59.630	60.096
	37	22.647	15.759	2.571	12.279	7.050	13.276	10.746	3.036	18.755	9.211	8.320	19.404	4.087	5.394	15.608	11.002	14.047	48.282	47.718	4.190	40.094	40.829	54.725	-1.000	45.390	12.923	42.872	35.471	19.468	64.577	50.093	62.930	77.556	75.663	70.464	52.275	69.486	61.241	54.054	56.845
	38	25.701	15.257	2.497	11.921	7.291	12.894	10.431	3.076	18.016	9.455	8.060	20.036	4.153	5.943	15.416	12.651	15.431	51.563	48.572	3.931	34.685	32.000	49.633	-1.000	40.486	12.714	38.425	29.541	14.288	62.854	45.588	57.757	72.949	70.980	64.042	47.780	65.041	56.031	48.420	53.962
	39	27.423	14.779	2.462	11.472	7.566	12.654	10.179	3.246	17.419	9.515	7.820	20.318	4.131	6.097	15.136	14.288	15.926	53.949	48.962	3.709	31.101	23.856	44.231	-1.000	36.253	12.626	34.603	24.795	11.686	61.656	41.170	51.696	68.225	67.060	56.917	43.673	61.080	50.680	43.153	51.657
	40	28.107	14.255	2.490	11.043	7.740	12.447	9.795	3.363	16.740	9.527	7.763	20.571	4.044	6.057	15.208	15.021	16.306	56.150	48.378	3.492	28.301	19.304	40.204	-1.000	33.938	12.340	32.399	21.836	10.516	60.586	37.470	47.355	64.700	63.532	52.195	40.850	57.900	46.502	39.509	49.435
	41	28.148	13.795	2.439	10.632	8.181	12.380	9.353	3.435	15.819	9.639	7.412	20.637	3.833	6.143	16.456	15.648	16.888	58.097	46.950	3.350	25.669	15.716	37.145	-1.000	31.939	12.125	31.069	19.549	9.960	59.931	35.120	43.499	61.384	60.740	48.244	38.119	54.933	42.830	35.848	47.042
	42	28.128	13.728	2.486	10.219	8.598	12.369	9.130	3.407	15.022	9.759	7.127	20.361	3.564	6.434	17.744	16.270	17.338	61.113	44.991	3.239	23.787	14.823	34.848	-1.000	30.564	11.934	30.217	17.988	9.652	59.753	33.880	39.589	58.680	58.557	45.547	36.426	51.377	40.822	33.621	45.115
	43	28.727	13.913	2.652	9.839	9.214	12.311	9.503	3.401	14.845	9.808	6.929	19.940	3.745	6.583	18.144	17.797	17.380	64.129	43.081	3.228	23.108	14.648	33.159	-1.000	29.486	11.790	29.837	16.779	9.399	59.972	32.948	36.043	56.881	56.933	43.526	34.328	49.161	38.623	31.453	43.003
	44	28.345	13.147	2.782	9.381	9.846	12.124	9.782	3.404	14.484	9.639	6.801	19.741	4.102	6.417	18.280	17.874	17.167	66.665	40.509	3.249	23.067	14.551	32.278	-1.000	28.261	11.533	29.706	16.425	9.322	60.064	32.378	32.466	55.327	55.226	41.801	33.512	46.732	37.610	30.075	40.541
	45	27.121	12.856	2.899	8.842	10.520	11.960	9.922	3.363	13.680	9.487	6.607	19.666	4.400	6.246	18.352	20.417	17.125	67.844	37.715	3.254	23.326	14.523	32.074	-1.000	27.921	11.298	29.700	16.530	9.208	60.288	32.493	29.088	53.958	53.116	40.407	32.585	44.289	36.386	28.917	37.867
